N,d
217,-0.03
37,0.43
50,-0.74
50,-0.21
47,0.24
47,0.49
73,-0.94
73,-0.47
73,-0.09
73,-0.04
73,0.15
37,-0.77
37,-0.15
37,0.04
37,0.06
37,0.1
53,0.12
53,0.03
53,0
63,-0.31
63,-0.16
63,0.14
52,-0.22
52,0.26
42,-0.21
457,-0.39
431,-0.08
382,0.03
325,0.1
268,0.12
214,0.13
172,0.12
137,0.12
102,0.26
67,-0.01
1479,0.05
1479,0.03
37,0.04
37,0
75,-0.43
210,-0.32
178,-0.1
85,0.19
93,-0.23
93,-0.37
93,-0.36
13,0.45
13,0.13
147,0.26
147,0.52
147,0.75
32,-0.51
411,-0.28
387,-0.1
306,-0.12
241,-0.03
190,0
165,-0.03
123,-0.1
99,-0.14
62,0.01
93,-0.41
72,-0.13
55,0.07
40,-0.12
26,-0.3
19,0.15
18,0.06
13,-0.06
