N,d
253,-0.48
51,-0.44
152,-0.23
131,0
106,0.39
163,-0.11
106,0.37
163,-0.01
106,0.48
163,0.01
163,-0.13
128,0.18
140,0.33
19,-0.46
19,-0.74
19,-0.16
19,-1.04
21,0.09
21,-1.06
21,0.31
21,-0.99
638,0.17
603,0.17
544,0.21
63,-0.11
26,0.5
19,-0.85
26,0.11
19,0.09
22,0.03
22,-0.04
22,0.13
22,0.12
22,0.16
22,0.15
22,-0.11
22,0.01
22,0.06
21,0.25
21,-0.02
21,0.14
22,0.88
24,0.18
28,0.09
159,0.26
159,0.13
132,0.27
132,0.03
43,-0.63
90,0.19
90,-0.04
157,0.19
31,-0.08
31,-0.02
31,-0.24
49,0.12
49,0.1
49,0.17
23,0.04
23,-0.04
23,0.32
64,0.37
64,0.38
64,0.26
64,0.3
33,0.29
33,0.26
33,0.38
33,0.31
87,0.01
89,0.07
79,0.1
80,-0.04
18,0.19
19,0.46
9,0.66
9,0.67
34,2.44
9,-0.16
11,0.14
275,0.08
258,0.13
164,-0.19
164,-0.19
