N,d
202,-0.29
202,0.15
17,0.55
16,0.11
19,0.38
39,0.39
43,0.26
46,0.16
35,-0.14
29,-0.12
37,0
53,0.16
58,-0.31
60,-0.38
27,0.88
26,0.63
32,0.18
55,0.33
47,0.68
61,0.12
19,0.33
19,0.24
575,0.29
100,-0.45
100,-0.15
127,-0.1
132,0.06
132,-0.08
126,0.32
137,0.38
135,0.27
143,-0.11
143,-0.28
23,-0.02
25,-0.68
88,-0.24
90,-0.65
19,0.74
152,0.42
225,0.42
64,0.03
64,-0.13
79,0.04
276,0.04
241,-0.02
222,-0.13
241,0.22
222,0.24
276,0.19
276,0.09
241,0.03
222,-0.02
162,0.23
22,0.06
20,0.47
25,0.46
310,0.35
435,0.26
435,0.37
6667,0.09
218,-0.15
218,0.06
218,0.01
218,-0.49
153,0.34
153,0.55
153,0.63
153,0.18
45,-0.35
45,-0.32
45,0.1
45,0.12
45,-0.4
45,-0.21
45,0.2
45,0.4
167,0.24
167,-0.27
2840,-0.13
1988,-0.19
2795,-0.15
2840,0
2840,0.12
1770,-0.23
2535,-0.2
2247,-0.17
1599,-0.26
9028,0.3
9028,0.18
76,0.05
92,0.02
76,-0.31
92,-0.03
76,-0.21
92,-0.01
76,-0.48
92,-0.27
18,-0.41
18,0.32
24,-0.87
24,0.87
19,-0.06
32,0.18
32,0.14
32,-0.11
32,-1.39
32,-0.36
32,2.04
375,0.14
244,0.34
128,-0.44
128,-0.75
109,0.07
109,-0.08
109,0.07
109,0.31
109,0.23
179,0.04
179,0.1
88,-0.37
88,-0.47
88,-0.38
31,-0.1
31,0.03
31,-0.17
72,-0.31
72,0.39
36,-0.34
40,-0.86
53,-0.5
55,-0.52
142,-0.36
142,0.33
142,0.2
142,-0.38
217,-0.69
417,0.25
153,0.19
843,-0.05
55,-0.13
50,0.08
32,0.11
32,0.38
50,0.64
55,0.75
32,-0.26
50,-0.8
55,-0.29
32,0.51
50,0.74
55,0.8
132,0.01
132,-0.02
132,0.09
132,-0.01
133,0.4
133,0.38
133,0.41
133,0.42
128,-0.28
128,-0.4
128,-0.21
128,-0.3
128,-0.36
128,-0.51
290,-0.32
290,-0.64
108,-0.96
291,-0.41
107,-1.07
288,-0.74
27,-0.71
104,-0.26
104,-0.5
104,-0.55
104,-0.42
141,-0.24
141,-0.09
1079,0.02
1079,-0.05
102,-0.23
102,-0.46
26,-0.24
26,-0.05
26,-0.11
26,0.05
26,0.1
26,-0.81
15,-0.29
15,0.4
15,-1.24
15,-0.1
15,-1.14
525,0.16
114,-0.22
114,-0.23
78,-0.5
73,-0.14
84,-0.78
83,-0.2
129,-0.32
129,-0.69
182,-0.1
69,-0.13
69,-0.31
69,-0.03
69,-0.68
51,0.77
40,1.03
49,0.17
52,0.19
46,-0.73
60,0.71
72,0.49
73,0.28
66,0.07
54,-1.02
50,-0.37
50,-0.12
52,-0.12
52,-0.29
50,1.83
120,-0.14
42,0.22
42,0.88
106,-0.42
106,-0.52
101,0.3
32,0.23
18,0.26
26,-0.47
38,-0.51
117,-0.18
23,0.35
37,0.36
108,0.39
120,-0.13
27,-0.64
44,-0.59
314,-0.4
314,0
235,0.38
326,0.17
58,0.02
51,0.08
51,0.11
51,0.01
51,0.3
51,-0.4
51,0
51,-0.57
51,-0.02
39,-0.03
25,-0.29
25,-0.26
41,-0.05
41,-0.11
60,0.27
60,-0.04
106,0.01
106,-0.12
