N,d
101,-0.52
101,-0.44
101,-0.33
101,-0.36
101,-0.33
101,-0.15
94,0
126,-0.01
126,-0.2
126,-0.21
126,-0.18
126,-0.1
126,-0.26
126,-0.24
126,-0.24
118,-0.75
118,-1.23
118,-0.66
118,-1.08
118,-0.58
118,-0.91
118,-0.54
118,-0.89
162,-0.24
163,-0.19
135,-0.34
134,-0.41
135,-0.4
121,-0.56
127,-0.51
162,-0.23
163,-0.24
138,-0.25
136,-0.45
141,-0.53
124,-0.03
128,-0.73
54,0.05
54,-0.26
54,-0.17
54,-0.43
54,-0.45
54,-0.44
54,-0.4
54,0.01
54,-0.42
54,-0.19
54,-0.44
54,-0.68
54,-0.43
54,-0.27
93,-0.34
93,-0.35
93,-0.56
93,-0.62
93,-0.59
93,-0.59
93,-0.58
93,-0.75
93,-0.77
93,-0.35
93,-0.39
93,-0.64
93,-0.65
93,-0.65
93,-0.73
93,-0.72
93,-0.91
93,-1.09
163,-0.36
161,-0.34
145,-0.27
139,-0.38
113,-0.36
126,-0.61
163,-0.43
161,-0.3
149,-0.22
142,-0.37
116,-0.37
128,-0.59
38,-0.18
74,-0.54
74,-0.84
74,-1.47
74,-0.4
74,-0.55
74,-1.17
130,-0.19
56,-0.44
