N,d
241,-0.21
241,-0.28
241,-0.17
241,-0.3
171,-0.33
86,-0.39
58,-0.35
34,-0.41
70,-0.36
59,-0.49
31,-0.69
590,0
590,0.01
538,-0.45
487,-0.58
425,-0.57
384,-0.63
590,0.05
590,0.07
538,-0.57
487,-0.76
425,-0.74
384,-0.86
2104,0.14
2104,0.45
36,-0.11
36,-0.44
36,-0.61
36,-0.34
36,-0.51
36,-0.44
36,-0.52
36,-0.23
36,-0.75
36,-0.65
36,-0.69
36,-0.74
36,-0.55
36,-0.45
2221,0.09
2030,-0.01
1761,-0.11
1516,-0.06
1366,-0.08
1196,-0.13
1068,-0.15
931,-0.19
782,-0.21
592,-0.46
592,-0.59
592,-0.59
592,-0.78
91,-0.31
91,-0.46
91,-0.55
23,-0.01
23,-0.24
1114,0.06
924,-0.01
763,-0.03
635,-0.08
502,-0.08
434,-0.12
342,-0.19
258,-0.18
170,-0.13
297,0.03
223,0.1
198,0.04
141,-0.11
102,-0.12
79,-0.36
60,-0.35
29,-0.51
